 n n*n      sqrt(n)
-- --- -----------------
 1   1 1.000000000000000
 2   4 1.414213562373095
 3   9 1.732050807568877
 4  16 2.000000000000000
 5  25 2.236067977499790
 6  36 2.449489742783178
 7  49 2.645751311064591
 8  64 2.828427124746190
 9  81 3.000000000000000
10 100 3.162277660168380

 n    cos(n)     sin(n)
-- --------- -----------
 0    1.00000    0.00000
 1    0.99985    0.01745
 2    0.99939    0.03490
 3    0.99863    0.05234
 4    0.99756    0.06976
 5    0.99619    0.08716
 6    0.99452    0.10453
 7    0.99255    0.12187
 8    0.99027    0.13917
 9    0.98769    0.15643
10    0.98481    0.17365
11    0.98163    0.19081
12    0.97815    0.20791
13    0.97437    0.22495
14    0.97030    0.24192
15    0.96593    0.25882
16    0.96126    0.27564
17    0.95630    0.29237
18    0.95106    0.30902
19    0.94552    0.32557
20    0.93969    0.34202
21    0.93358    0.35837
22    0.92718    0.37461
23    0.92050    0.39073
24    0.91355    0.40674
25    0.90631    0.42262
26    0.89879    0.43837
27    0.89101    0.45399
28    0.88295    0.46947
29    0.87462    0.48481
30    0.86603    0.50000
31    0.85717    0.51504
32    0.84805    0.52992
33    0.83867    0.54464
34    0.82904    0.55919
35    0.81915    0.57358
36    0.80902    0.58779
37    0.79864    0.60182
38    0.78801    0.61566
39    0.77715    0.62932
40    0.76604    0.64279
41    0.75471    0.65606
42    0.74314    0.66913
43    0.73135    0.68200
44    0.71934    0.69466
45    0.70711    0.70711
46    0.69466    0.71934
47    0.68200    0.73135
48    0.66913    0.74314
49    0.65606    0.75471
50    0.64279    0.76604
51    0.62932    0.77715
52    0.61566    0.78801
53    0.60182    0.79864
54    0.58779    0.80902
55    0.57358    0.81915
56    0.55919    0.82904
57    0.54464    0.83867
58    0.52992    0.84805
59    0.51504    0.85717
60    0.50000    0.86603
61    0.48481    0.87462
62    0.46947    0.88295
63    0.45399    0.89101
64    0.43837    0.89879
65    0.42262    0.90631
66    0.40674    0.91355
67    0.39073    0.92050
68    0.37461    0.92718
69    0.35837    0.93358
70    0.34202    0.93969
71    0.32557    0.94552
72    0.30902    0.95106
73    0.29237    0.95630
74    0.27564    0.96126
75    0.25882    0.96593
76    0.24192    0.97030
77    0.22495    0.97437
78    0.20791    0.97815
79    0.19081    0.98163
80    0.17365    0.98481
81    0.15643    0.98769
82    0.13917    0.99027
83    0.12187    0.99255
84    0.10453    0.99452
85    0.08716    0.99619
86    0.06976    0.99756
87    0.05234    0.99863
88    0.03490    0.99939
89    0.01745    0.99985
90    0.00000    1.00000
